month,PfPR,Cases,Severe_cases,New_infections,Anemia,Mean_density,Gametocyte_prevalence,Pop,agebin,Run_Number,Year
11,0.7820414428243,3.361473441124,0.1400613933802,90,188.1024513096,3.127738604777,0.5938219493477,173.7333333333,5.0,3,2023.0
12,0.8193941703182,3.824537806213,0.06953705102205,94,197.8329101577,3.025437778413,0.5993522575729,174.9666666667,5.0,3,2023.0
1,0.12075652765,2.554080518894,0.01459474582225,175,21.13319195062,3.915857800269,0.01479467391739,833.6333333333,115.0,3,2023.0
2,0.1754336877448,0.0,0.0,714,38.80805924535,3.047700105835,0.2089695419298,833.9333333333,115.0,3,2023.0
3,0.571303168143,8.097518276423,0.02912776358426,695,101.0005202284,3.686951708854,0.2455510334371,835.4,115.0,3,2023.0
4,0.7681482957943,2.15347821638,0.05820211395621,591,193.1000635782,3.608330881987,0.6825592983855,836.1666666667,115.0,3,2023.0
5,0.9059869969287,2.533205682412,0.04367596004158,171,129.2954003764,3.027872368579,0.6683020222568,835.7,115.0,3,2023.0
6,0.816635461897,0.7851651236415,0.0,141,64.31083966419,2.367066007329,0.5048400589571,836.7666666667,115.0,3,2023.0
7,0.7826277779994,2.053425391205,0.0,198,41.21414083056,2.187414185344,0.3006822806528,835.4333333333,115.0,3,2023.0
8,0.6722705854165,2.536139275879,0.0,463,54.61444750987,2.36450430078,0.2841626068205,834.7333333333,115.0,3,2023.0
9,0.7711446772707,4.357947161421,0.01462398376316,443,109.8846139964,2.949519020375,0.4068271966024,831.9666666667,115.0,3,2023.0
10,0.8220570510245,3.563479389064,0.02932904846966,432,124.267178366,3.024663108313,0.593893129771,829.6666666667,115.0,3,2023.0
11,0.8507342587005,3.245423553512,0.0,340,113.3108060583,2.901098507943,0.5878092939046,828.5,115.0,3,2023.0
12,0.8473986568493,3.130512088537,0.0,335,101.6825766116,2.789995348494,0.5635164657335,823.9333333333,115.0,3,2023.0
1,0.0,0.0,0.0,0,0.0,0.0,0.0,6.9,0.25,1,2023.0
2,0.0,0.0,0.0,0,0.0,0.0,0.0,6.666666666667,0.25,1,2023.0
3,0.08558558558559,1.644144177437,0.0,3,65.76576709747,3.697366739574,0.009009009009009,7.4,0.25,1,2023.0
4,0.1652661064426,1.02240896225,1.02240896225,6,79.74789905548,4.002066088935,0.1260504201681,11.9,0.25,1,2023.0
5,0.2686567164179,4.358209133148,1.089552283287,9,152.5373196602,3.558958392673,0.1014925373134,11.16666666667,0.25,1,2023.0
6,0.325,0.0,0.0,2,142.578125,4.075150817633,0.30625,10.66666666667,0.25,1,2023.0
7,0.3229571984436,2.840466976166,0.0,3,174.6887190342,3.483698732882,0.2101167315175,8.566666666667,0.25,1,2023.0
8,0.3041958041958,2.552447557449,0.0,4,158.2517485619,2.851594674176,0.2377622377622,9.533333333333,0.25,1,2023.0
9,0.3991228070175,3.201754331589,0.0,2,155.2850850821,2.888402661124,0.1973684210526,7.6,0.25,1,2023.0
10,0.1245551601423,2.597864866257,0.0,7,84.43060815334,3.44191373757,0.02135231316726,9.366666666667,0.25,1,2023.0
11,0.2981927710843,5.496987700462,1.099397540092,6,186.8975818157,3.833145204217,0.06325301204819,11.06666666667,0.25,1,2023.0
12,0.485393258427,3.280898809433,0.0,10,213.2584226131,3.621632003122,0.3910112359551,14.83333333333,0.25,1,2023.0
1,0.1378466557912,2.75387430191,0.0,37,29.62275600433,3.885930538354,0.02222675367047,163.4666666667,5.0,1,2023.0
2,0.1831874618359,0.0,0.0,63,69.46366474032,2.984536720249,0.2245064115612,163.7666666667,5.0,1,2023.0
3,0.4157970124821,5.676284223795,0.2240638509393,114,76.77921292186,3.310544427279,0.158379373849,162.9,5.0,1,2023.0
4,0.5671147880041,2.340227581561,0.0,133,177.4043489248,3.607356716689,0.4790072388831,161.1666666667,5.0,1,2023.0
5,0.7715293629384,4.090060293674,0.3787092864513,61,192.9145105183,3.464940346717,0.5698277650965,160.6333333333,5.0,1,2023.0
6,0.7691666666667,1.444791704416,0.0,56,179.1541713476,2.871523567876,0.6125,160.0,5.0,1,2023.0
7,0.737048503612,2.486068144441,0.0,54,121.2899912894,2.624283297961,0.4433436532508,161.5,5.0,1,2023.0
8,0.6606446314925,3.297064125538,0.1498665511608,95,129.4097669274,2.826826056536,0.4083350441388,162.3666666667,5.0,1,2023.0
9,0.6890444810544,3.758237138391,0.1503294855356,89,174.6076974496,3.199220244427,0.4781713344316,161.8666666667,5.0,1,2023.0
10,0.7323943661972,3.704432405531,0.07560066133738,91,178.3419600949,3.105294297959,0.5683512841756,160.9333333333,5.0,1,2023.0
11,0.7600999583507,3.648479819298,0.0,80,189.1888806298,3.177251918251,0.5674718867139,160.0666666667,5.0,1,2023.0
12,0.7659128978224,3.286222822964,0.1528475731611,91,177.3796086535,2.999216567043,0.5764237855946,159.2,5.0,1,2023.0
1,0.1077442430575,2.288309253752,0.01466864906251,156,18.58517836221,3.912241755338,0.01286018566893,829.4333333333,115.0,1,2023.0
2,0.1578672452588,0.0,0.0,607,34.8603745047,3.068655788853,0.1868772099004,829.6,115.0,1,2023.0
3,0.5187666478328,7.733674859628,0.08838485553861,707,86.38146547973,3.639906121243,0.2063524093954,825.9333333333,115.0,1,2023.0
4,0.7392095053346,2.124151289463,0.02950210124254,593,186.3500224985,3.608130751981,0.6546637568704,824.8,115.0,1,2023.0
5,0.8814895681708,3.320596762933,0.01475820783526,224,132.3220914509,3.130849958751,0.6532023289665,824.4,115.0,1,2023.0
6,0.8335087009308,0.8862808719277,0.0,143,83.08883174323,2.507004423213,0.5393767705382,823.6666666667,115.0,1,2023.0
7,0.7864549578743,1.774141229689,0.0,215,42.56460500229,2.196253732154,0.3342109526896,822.9333333333,115.0,1,2023.0
8,0.7079484686437,2.98695512116,0.01478690654039,408,59.25113450736,2.416280457124,0.2922540917193,822.8,115.0,1,2023.0
9,0.7701415075214,3.68507477548,0.0,410,103.4928831523,2.837253439743,0.4165348903215,822.1,115.0,1,2023.0
10,0.8031582365836,3.481976045296,0.02963383868337,414,109.8081892412,2.933342018397,0.5364942762036,821.1333333333,115.0,1,2023.0
11,0.8432587911198,3.282693251967,0.0,344,117.2749557719,2.947137456,0.5843866472209,822.8,115.0,1,2023.0
12,0.8216407585253,3.163709568791,0.01485309656709,365,98.03043734282,2.788719897013,0.5572556360381,819.1333333333,115.0,1,2023.0
1,0.07251908396947,1.393129825592,0.0,1,41.79389476776,3.813110947609,0.01526717557252,8.733333333333,0.25,0,2023.0
2,0.06089743589744,0.0,0.0,0,29.24679517746,3.235045119336,0.08012820512821,10.4,0.25,0,2023.0
3,0.006079027355623,0.0,0.0,2,21.07902646065,1.301030039787,0.0,10.96666666667,0.25,0,2023.0
4,0.01662049861496,0.0,0.0,4,47.52077805996,1.851495126883,0.0,12.03333333333,0.25,0,2023.0
5,0.325,4.562500119209,0.0,6,147.8250038624,3.980825800162,0.1525,13.33333333333,0.25,0,2023.0
6,0.4254742547425,2.967479646206,0.9891598820686,1,205.7452554703,3.498539967142,0.3794037940379,12.3,0.25,0,2023.0
7,0.248322147651,0.0,0.0,0,127.3825464249,2.616193760086,0.3020134228188,9.933333333333,0.25,0,2023.0
8,0.03151862464183,1.045845270157,0.0,7,44.97134661674,2.337434616956,0.0,11.63333333333,0.25,0,2023.0
